Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
Картофель,"Руссет",Овощи и фрукты,"78,58","2,14","18,07","0,08",79,13,"0,103","0,86",23,55,417,5,"0,29","0,157",1,0,0,"0,345","5,7","0,01","1,8","0,4","0,082",0,"1,299999952","0,620000005","0,002","0,035","0,02",0,"1,13",0,0,13,5,0,"1,035","0,301",0,"0,033"
Картофель,"Белый",Овощи и фрукты,"81,58","1,68","15,71","0,1",69,9,"0,116","0,52",21,62,407,6,"0,29","0,145",8,0,0,"0,203","19,7","0,01","1,6","0,3","0,071",0,"2,400000095","1,149999976","0,002","0,041","0,025",0,"0,94",5,0,11,13,0,"1,066","0,281",0,"0,034"
Картофель,"Красный",Овощи и фрукты,"80,96","1,89","15,9","0,14",70,10,"0,134","0,73",22,61,455,6,"0,33","0,141",7,0,0,"0,17","8,6","0,01","2,9","0,5","0,081",0,"1,700000048",1,"0,003","0,057","0,034",0,"1,1",4,0,16,21,0,"1,149","0,279",0,"0,031"
Морковь,Морковь,Овощи и фрукты,"88,29","0,93","9,58","0,24",41,33,"0,045","0,3",12,35,320,69,"0,24","0,143",16706,835,0,"0,138","5,9","0,66","13,2","0,1","0,066",0,"2,799999952","4,739999771","0,014","0,117","0,037",3477,"0,97",8285,0,9,256,1,"0,983","0,273",0,"0,058"
Соль,Столовая,Специи и приправы,"0,2",0,0,0,0,24,"0,03","0,33",1,0,8,38758,"0,1","0,1",0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,"99,8",0,0,0,0,0,0,0,0,0
Рыбий Жир,Печень Трески,Масло/жир,0,0,0,100,902,0,0,0,0,0,0,0,0,0,100000,30000,0,0,0,0,0,0,0,570,0,0,"46,711","22,541","22,608",0,0,0,0,0,0,0,0,0,30000,0
Рыбий Жир,Сельдь,Масло/жир,0,0,0,100,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0,"56,564","15,604","21,29",0,0,0,0,0,0,0,0,0,0,0
Рыбий Жир,Лосось,Масло/жир,0,0,0,100,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,"29,037","40,324","19,872",0,0,0,0,0,0,0,0,0,0,0
Рыбий Жир,Сардина,Масло/жир,0,0,0,100,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,"33,841","31,867","29,892",0,0,0,0,0,0,0,0,0,0,0
Курица,"Мясо&Кожа&Потроха&Шея",Мясо,"66,34","18,33","0,13","14,83",213,11,"0,064","1,31",20,149,189,70,"1,48","0,029",771,232,"1,11","0,34","2,6",0,0,"11,8","0,061",90,0,0,"6,08","3,19","4,24",0,"0,8",0,0,0,0,0,"6,639","1,072",232,"0,186"
Курица,"Мясо & Кожа",Мясо,"65,99","18,6",0,"15,06",215,11,"0,048","0,9",20,147,189,70,"1,31","0,019",140,42,"0,31","0,35","1,6","0,3","1,5","14,4","0,06",75,0,0,"6,24","3,23","4,31",0,"0,79",0,0,60,0,0,"6,801","0,91",41,"0,12"
Курица,"Мясо",Мясо,"75,46","21,39",0,"3,08",119,12,"0,053","0,89",25,173,229,77,"1,54","0,019",52,16,"0,37","0,43","2,3","0,21","1,8","15,7","0,073",70,0,0,"0,9","0,75","0,79",0,"0,96",0,0,66,0,0,"8,239","1,058",16,"0,142"
Курица,"Кожа",Мясо,"54,22","13,33",0,"32,35",349,11,"0,041","1,08",13,100,103,63,"0,93","0,019",262,76,"0,23","0,09",0,0,"2,9","12,3","0,033",109,0,0,"13,54","6,81","9,08",0,"0,41",6,0,0,0,0,"3,987","0,692",76,"0,069"
Курица,"Потроха",Мясо,"74,87","17,88","1,8","4,47",124,10,"0,243","5,86",18,197,228,77,"3,32","0,149",8847,2657,"11,41","0,42","16,2",0,0,"55,2","0,088",262,0,0,"1,12","1,09","1,36",0,"0,99",0,0,0,0,0,"6,662","3,208",2657,"0,987"
Курица,"Желудок",Мясо,"79,33","17,66",0,"2,06",94,11,"0,116","2,49",15,148,237,69,"2,72","0,055",64,19,"1,21","0,112","3,7","0,33",0,"25,5","0,028",240,0,0,"0,512","0,357","0,529",0,"0,95",0,0,0,0,0,"3,68","0,631",19,"0,231"
Курица,"Сердце",Мясо,"73,56","15,55","0,71","9,33",153,12,"0,346","5,96",15,177,176,74,"6,59","0,089",30,9,"7,29","0,36","3,2",0,0,"4,3","0,152",136,0,0,"2,37","2,71","2,66",0,"0,85",0,0,0,0,0,"4,883","2,559",9,"0,728"
Курица,"Печень",Мясо,"76,46","16,92",0,"4,83",116,8,"0,492","8,99",19,297,230,71,"2,67","0,255",11078,3296,"16,58","0,853","17,9","0,7",0,"54,6","0,305",345,0,0,"1,249","1,306","1,563",11,"1,06",56,11,194,0,40,"9,728","6,233",3290,"1,778"
Курица,"Жир",Мясо,"28,91","3,73",0,"67,95",629,7,"0,029","0,7",6,54,64,32,"0,45","0,014",509,130,"0,07","0,02",0,"2,73","2,4","9,7","0,021",58,0,0,"30,3","14,2","20,25",0,"0,28",55,0,16,0,0,"2,041","0,19",125,"0,059"
Курица,"Спинка, Мясо&Кожа",Мясо,"58,1","14,05",0,"28,74",319,13,"0,047","0,94",15,113,144,64,"1,26","0,018",251,75,"0,25","0,19","1,6","0,37","2,4","12,1","0,051",79,0,0,"12,25","6,14","8,34",0,"0,64",0,0,0,0,0,"4,835","0,819",75,"0,116"
Курица,"Спинка, Мясо",Мясо,"75,31","19,56",0,"5,92",137,17,"0,06","1,04",22,151,204,82,"1,85","0,021",99,30,"0,36","0,33",0,"0,22","2,4","13,5","0,074",81,0,0,"1,84","1,47","1,52",0,"0,92",0,0,0,0,0,"6,672","1,224",30,"0,164"
Курица,"Грудка, Мясо&Кожа",Мясо,"69,46","20,85",0,"9,25",172,11,"0,039","0,74",25,174,220,63,"0,8","0,018",83,25,"0,34","0,53",0,"0,31",0,"16,6","0,063",64,0,0,"3,82","1,96","2,66",0,"1,01",0,0,67,0,0,"9,908","0,804",24,"0,085"
Курица,"Грудка, Мясо",Мясо,"74,76","23,09",0,"1,24",110,11,"0,041","0,72",28,196,255,65,"0,8","0,018",21,6,"0,38","0,55","1,2","0,13","0,2","17,8","0,07",58,0,0,"0,3","0,28","0,33",0,"1,02",0,0,73,0,0,"11,194","0,819",6,"0,092"
Курица,"Голень, Мясо&Кожа",Мясо,"72,46","19,27",0,"8,68",161,11,"0,059","1,03",21,154,206,83,2,"0,021",95,29,"0,35","0,3","2,7","0,3","2,8","13,2","0,074",81,0,0,"3,37","1,94","2,39",0,"0,86",0,0,59,0,0,"5,449","1,182",29,"0,178"
Курица,"Голень, Мясо",Мясо,"76,38","20,59",0,"3,42",119,11,"0,063","1,03",23,166,226,88,"2,21","0,021",57,17,"0,37","0,34","3,2","0,31","2,9","13,5","0,082",77,0,0,"1,06","0,85","0,88",0,"0,93",0,0,62,0,0,"5,778","1,287",17,"0,199"
